#TYPE;Selected.System.Management.ManagementObject;;
date;user;productname;
19.9.2017;14:15:59;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB982018)
19.9.2017;14:15:59;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2532531)
19.9.2017;14:15:59;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2732487)
19.9.2017;13:55:52;NT AUTHORITY\SYSTEM;Rozhran? Microsoft .NET Framework 4.7 pro Windows 7 (KB3186497)
19.9.2017;13:45:39;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
19.9.2017;13:05:33;NT AUTHORITY\SYSTEM;Definition Update for Windows Defender - KB915597 (Definition 1.251.1078.0)
18.9.2017;14:13:29;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
18.9.2017;13:25:19;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3075220)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3031432)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3011780)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3004375)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2871997)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3042058)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3071756)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2992611)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3080149)
18.9.2017;13:20:28;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3068708)
18.9.2017;11:50:59;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3126587)
18.9.2017;11:50:27;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3061518)
18.9.2017;11:49:49;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3035132)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3161958)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2862335)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2888049)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3013531)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2719857)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2893519)
