#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion","Publisher"
"vcpp_crt.redist.clickonce","14.11.25325","Microsoft Corporation"
"Windows SDK DirectX x86 Remote","10.1.15063.468","Microsoft Corporation"
"Intellisense Lang Pack Mobile Extension SDK 10.0.15063.0","10.1.15063.468","Microsoft Corporation"
"Windows SDK for Windows Store Managed Apps Libs","10.1.15063.468","Microsoft Corporation"
"Visual C++ Library CRT Appx Package","14.11.25506","Microsoft Corporation"
"Windows Software Development Kit","8.100.26936","Microsoft Corporation"
"Windows Desktop Extension SDK Contracts","10.1.15063.468","Microsoft Corporation"
"Microsoft Expression Blend SDK for .NET 4","2.0.20525.0","Microsoft Corporation"
"Windows Simulator - ENU","15.0.26621","Microsoft Corporation"
"MOBILedit! Support Libraries","12.0.0","COMPELSON Labs"
"Windows SDK for Windows Store Apps Libs","10.1.15063.468","Microsoft Corporation"
"Microsoft .NET Framework 4.6.2 Targeting Pack","4.6.01590","Microsoft Corporation"
"Microsoft Azure Mobile App SDK V3.0","3.0.50407.0","Microsoft Corporation"
"Microsoft .NET Framework 4.6.2 SDK (?e?tina)","4.6.01590","Microsoft Corporation"
"windows_toolscorepkg","15.0.26621","Microsoft Corporation"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation"
"Microsoft ASP.NET Packages for MVC 4 - ENU","15.0.20601.0","Microsoft Corporation"
"Microsoft Emulator - Windows 10.0.15063.137","10.1.15063.137","Microsoft Corporation"
"Microsoft Azure Storage Emulator - v5.1","5.1.1760.1722","Microsoft Corporation"
"WinRT Intellisense IoT - en-us","10.1.15063.468","Microsoft Corporation"
"Microsoft ASP.NET Web Tools Packages 15.0 - CSY","1.0.20531.0","Microsoft Corporation"
"vs_minshellmsires","15.0.26621","Microsoft Corporation"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu","15.0.26621.02","Microsoft Corporation"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation"
"vs_devenvmsi","15.0.26621","Microsoft Corporation"
"Universal Adb Driver","1.0.4","ClockworkMod"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - csy","15.0.26621.02","Microsoft Corporation"
"WinRT Intellisense PPI - Other Languages","10.1.15063.468","Microsoft Corporation"
"vs_clickoncebootstrappermsires","15.0.26621","Microsoft Corporation"
"vcpp_crt.redist.clickonce","14.11.25325","Microsoft Corporation"
"LG Mobile Drivers","4.2.0","LG Electronics"
"Microsoft .NET Framework 4.6.2 Targeting Pack (ENU)","4.6.01590","Microsoft Corporation"
"Visual C++ Library CRT Appx Package","14.11.25507","Microsoft Corporation"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0","Microsoft Corporation"
"WinRT Intellisense UAP - Other Languages","10.1.15063.468","Microsoft Corporation"
"WinRT Intellisense IoT - Other Languages","10.1.15063.468","Microsoft Corporation"
"Microsoft .NET Framework 4.7 Targeting Pack","4.7.02046","Microsoft Corporation"
"TypeScript SDK","2.3.5.0","Microsoft Corporation"
"Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319","Microsoft Corporation"
"Update for  (KB2504637)","1","Microsoft Corporation"
"vs_minshellinteropmsi","15.0.26621","Microsoft Corporation"
"Universal CRT Extension SDK","10.1.15063.468","Microsoft Corporation"
"Microsoft UniversalWindowsPlatform SDK","15.0.26728","Microsoft Corporation"
"icecap_collectionresources","15.0.26621","Microsoft Corporation"
"Microsoft S/MIME","14.3.123.2","Microsoft Corporation"
"vs_clickoncebootstrappermsi","15.0.26621","Microsoft Corporation"
"vs_filehandler_amd64","15.0.26711","Microsoft Corporation"
"Windows Mobile Extension SDK 10.0.15063.0 - ARM","10.1.15063.468","Microsoft Corporation"
"Windows SDK Signing Tools","10.1.15063.468","Microsoft Corporation"
"Microsoft ASP.NET Web Tools Packages 15.0 - ENU","1.0.20531.0","Microsoft Corporation"
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation"
"Microsoft .NET Framework 4.6.1 SDK (?e?tina)","4.6.01055","Microsoft Corporation"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.6.01590","Microsoft Corporation"
"Windows SDK Facade Windows WinMD Versioned","10.1.15063.468","Microsoft Corporation"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","15.0.30726.0","Microsoft Corporation"
"Microsoft .NET Framework 3.5 Targeting Pack (csy)","3.5.26621","Microsoft Corporation"
"Microsoft Emulator 10.0.15063.0","10.1.15063.137","Microsoft Corporation"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation"
,,
,,
,,
,,
,,
,,
,,
"Microsoft System CLR Types for SQL Server 2017 CTP2.1","14.0.600.250","Microsoft Corporation"
"Visual C++ Library CRT Appx Resource Package","14.11.25507","Microsoft Corporation"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.15063.468","Microsoft Corporation"
"WinRT Intellisense UAP - en-us","10.1.15063.468","Microsoft Corporation"
"Microsoft .NET Framework 4.7 SDK","4.7.02046","Microsoft Corporation"
"eM Client","7.1.30794.0","eM Client Inc."
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0","Microsoft Corporation"
" Tools for .Net 3.5 - CSY Lang Pack","3.11.50727","Microsoft Corporation"
"Windows SDK Modern Versioned Developer Tools","10.1.15063.468","Microsoft Corporation"
"Entity Framework 6.1.3 Tools  for Visual Studio 15","6.1.60104.0","Microsoft Corporation"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation"
"Windows Mobile Extension SDK 10.0.15063.0 - x86","10.1.15063.468","Microsoft Corporation"
"Visual F# 4.1 SDK","4.1","Microsoft Corporation"
"Windows 10 for Mobile Image - 10.0.15063.0","10.1.15063.137","Microsoft Corporation"
"VS Immersive Activate Helper","16.0.71.0","Microsoft Corporation"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.15063.468","Microsoft Corporation"
