#TYPE Selected.Microsoft.Windows.Appx.PackageManager.Commands.AppxPackage
"Name","Version","Publisher"
"Microsoft.SkypeApp","11.19.856.0","CN=Skype Software Sarl, O=Microsoft Corporation, L=Luxembourg, S=Luxembourg, C=LU"
"Microsoft.ZuneVideo","10.17072.13111.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Services.Store.Engagement","10.0.1706.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Services.Store.Engagement","10.0.1706.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"88449BC3.TodoistTo-DoListTaskManager","1.2.28.0","CN=25E66347-14F4-4053-AA31-97AEA08DA0F2"
"Microsoft.VCLibs.140.00","14.0.25426.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.VCLibs.140.00","14.0.25426.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsSoundRecorder","10.1706.2211.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsCamera","2017.727.20.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsAlarms","10.1706.2231.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Microsoft3DViewer","1.1707.26019.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Windows.Photos","2017.37071.12510.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.ZuneMusic","10.17063.20821.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Advertising.Xaml","10.1707.2.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Advertising.Xaml","10.1707.2.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.MicrosoftSolitaireCollection","3.17.8162.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsCalculator","10.1706.2271.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsStore","11706.1002.3.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Xbox.TCUI","1.8.24001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Office.OneNote","17.8471.57791.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.OneConnect","3.1708.2372.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.XboxSpeechToTextOverlay","1.17.29001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.BingWeather","4.21.2212.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
